row_index,applicant_id,column,dq_dimension,issue_type,original_value,injected_value
7553,UGRO-APP-107553,bureau_score,Completeness,missing_value,599,
11564,UGRO-APP-111564,bureau_score,Completeness,missing_value,742.0,
1903,UGRO-APP-101903,bureau_score,Completeness,missing_value,749.0,
6610,UGRO-APP-106610,bureau_score,Completeness,missing_value,639.0,
1339,UGRO-APP-101339,bureau_score,Completeness,missing_value,672.0,
9042,UGRO-APP-109042,bureau_score,Completeness,missing_value,560.0,
8230,UGRO-APP-108230,bureau_score,Completeness,missing_value,880.0,
8426,UGRO-APP-108426,bureau_score,Completeness,missing_value,705.0,
1262,UGRO-APP-101262,bureau_score,Completeness,missing_value,600.0,
940,UGRO-APP-100940,bureau_score,Completeness,missing_value,708.0,
11343,UGRO-APP-111343,bureau_score,Completeness,missing_value,659.0,
4104,UGRO-APP-104104,bureau_score,Completeness,missing_value,647.0,
14823,UGRO-APP-114823,bureau_score,Completeness,missing_value,543.0,
2620,UGRO-APP-102620,bureau_score,Completeness,missing_value,631.0,
6515,UGRO-APP-106515,bureau_score,Completeness,missing_value,762.0,
9396,UGRO-APP-109396,bureau_score,Completeness,missing_value,746.0,
9481,UGRO-APP-109481,bureau_score,Completeness,missing_value,763.0,
7504,UGRO-APP-107504,bureau_score,Completeness,missing_value,560.0,
11567,UGRO-APP-111567,bureau_score,Completeness,missing_value,666.0,
2871,UGRO-APP-102871,bureau_score,Completeness,missing_value,558.0,
7344,UGRO-APP-107344,bureau_score,Completeness,missing_value,686.0,
7359,UGRO-APP-107359,bureau_score,Completeness,missing_value,550.0,
11611,UGRO-APP-111611,bureau_score,Completeness,missing_value,590.0,
1001,UGRO-APP-101001,bureau_score,Completeness,missing_value,641.0,
13539,UGRO-APP-113539,bureau_score,Completeness,missing_value,634.0,
4509,UGRO-APP-104509,bureau_score,Completeness,missing_value,621.0,
11752,UGRO-APP-111752,bureau_score,Completeness,missing_value,666.0,
14054,UGRO-APP-114054,bureau_score,Completeness,missing_value,668.0,
8520,UGRO-APP-108520,bureau_score,Completeness,missing_value,590.0,
7377,UGRO-APP-107377,bureau_score,Completeness,missing_value,630.0,
1885,UGRO-APP-101885,bureau_score,Completeness,missing_value,603.0,
8276,UGRO-APP-108276,bureau_score,Completeness,missing_value,744.0,
552,UGRO-APP-100552,bureau_score,Completeness,missing_value,715.0,
4566,UGRO-APP-104566,bureau_score,Completeness,missing_value,710.0,
3544,UGRO-APP-103544,bureau_score,Completeness,missing_value,698.0,
8127,UGRO-APP-108127,bureau_score,Completeness,missing_value,674.0,
4132,UGRO-APP-104132,bureau_score,Completeness,missing_value,732.0,
12360,UGRO-APP-112360,bureau_score,Completeness,missing_value,736.0,
13617,UGRO-APP-113617,bureau_score,Completeness,missing_value,731.0,
14842,UGRO-APP-114842,bureau_score,Completeness,missing_value,763.0,
11209,UGRO-APP-111209,bureau_score,Completeness,missing_value,666.0,
10994,UGRO-APP-110994,bureau_score,Completeness,missing_value,632.0,
3928,UGRO-APP-103928,bureau_score,Completeness,missing_value,752.0,
3893,UGRO-APP-103893,bureau_score,Completeness,missing_value,539.0,
622,UGRO-APP-100622,bureau_score,Completeness,missing_value,796.0,
6995,UGRO-APP-106995,bureau_score,Completeness,missing_value,645.0,
2639,UGRO-APP-102639,bureau_score,Completeness,missing_value,682.0,
9371,UGRO-APP-109371,bureau_score,Completeness,missing_value,543.0,
4971,UGRO-APP-104971,bureau_score,Completeness,missing_value,649.0,
2435,UGRO-APP-102435,bureau_score,Completeness,missing_value,701.0,
3184,UGRO-APP-103184,bureau_score,Completeness,missing_value,644.0,
9412,UGRO-APP-109412,bureau_score,Completeness,missing_value,721.0,
12106,UGRO-APP-112106,bureau_score,Completeness,missing_value,718.0,
4488,UGRO-APP-104488,bureau_score,Completeness,missing_value,656.0,
11792,UGRO-APP-111792,bureau_score,Completeness,missing_value,832.0,
6572,UGRO-APP-106572,bureau_score,Completeness,missing_value,452.0,
3637,UGRO-APP-103637,bureau_score,Completeness,missing_value,658.0,
12669,UGRO-APP-112669,bureau_score,Completeness,missing_value,692.0,
13629,UGRO-APP-113629,bureau_score,Completeness,missing_value,599.0,
10327,UGRO-APP-110327,bureau_score,Completeness,missing_value,682.0,
13466,UGRO-APP-113466,bureau_score,Completeness,missing_value,539.0,
2814,UGRO-APP-102814,bureau_score,Completeness,missing_value,550.0,
10256,UGRO-APP-110256,bureau_score,Completeness,missing_value,691.0,
2071,UGRO-APP-102071,bureau_score,Completeness,missing_value,691.0,
10428,UGRO-APP-110428,bureau_score,Completeness,missing_value,828.0,
11322,UGRO-APP-111322,bureau_score,Completeness,missing_value,520.0,
2482,UGRO-APP-102482,bureau_score,Completeness,missing_value,628.0,
3020,UGRO-APP-103020,bureau_score,Completeness,missing_value,597.0,
8342,UGRO-APP-108342,bureau_score,Completeness,missing_value,746.0,
2683,UGRO-APP-102683,bureau_score,Completeness,missing_value,649.0,
1437,UGRO-APP-101437,bureau_score,Completeness,missing_value,604.0,
13843,UGRO-APP-113843,bureau_score,Completeness,missing_value,691.0,
2268,UGRO-APP-102268,bureau_score,Completeness,missing_value,847.0,
1127,UGRO-APP-101127,bureau_score,Completeness,missing_value,704.0,
4002,UGRO-APP-104002,bureau_score,Completeness,missing_value,730.0,
2095,UGRO-APP-102095,bureau_score,Completeness,missing_value,686.0,
1758,UGRO-APP-101758,bureau_score,Completeness,missing_value,631.0,
14584,UGRO-APP-114584,bureau_score,Completeness,missing_value,732.0,
9167,UGRO-APP-109167,bureau_score,Completeness,missing_value,795.0,
8033,UGRO-APP-108033,bureau_score,Completeness,missing_value,557.0,
4361,UGRO-APP-104361,bureau_score,Completeness,missing_value,735.0,
11327,UGRO-APP-111327,bureau_score,Completeness,missing_value,594.0,
2161,UGRO-APP-102161,bureau_score,Completeness,missing_value,655.0,
4268,UGRO-APP-104268,bureau_score,Completeness,missing_value,656.0,
2963,UGRO-APP-102963,bureau_score,Completeness,missing_value,519.0,
2375,UGRO-APP-102375,bureau_score,Completeness,missing_value,517.0,
2798,UGRO-APP-102798,bureau_score,Completeness,missing_value,812.0,
7222,UGRO-APP-107222,bureau_score,Completeness,missing_value,535.0,
13372,UGRO-APP-113372,bureau_score,Completeness,missing_value,702.0,
1239,UGRO-APP-101239,bureau_score,Completeness,missing_value,760.0,
6064,UGRO-APP-106064,bureau_score,Completeness,missing_value,720.0,
2474,UGRO-APP-102474,bureau_score,Completeness,missing_value,659.0,
8210,UGRO-APP-108210,bureau_score,Completeness,missing_value,701.0,
11481,UGRO-APP-111481,bureau_score,Completeness,missing_value,791.0,
12325,UGRO-APP-112325,bureau_score,Completeness,missing_value,749.0,
7490,UGRO-APP-107490,bureau_score,Completeness,missing_value,717.0,
7097,UGRO-APP-107097,bureau_score,Completeness,missing_value,648.0,
11475,UGRO-APP-111475,bureau_score,Completeness,missing_value,666.0,
11554,UGRO-APP-111554,bureau_score,Completeness,missing_value,587.0,
11871,UGRO-APP-111871,bureau_score,Completeness,missing_value,680.0,
11797,UGRO-APP-111797,bureau_score,Completeness,missing_value,813.0,
6983,UGRO-APP-106983,bureau_score,Completeness,missing_value,779.0,
6798,UGRO-APP-106798,bureau_score,Completeness,missing_value,670.0,
10825,UGRO-APP-110825,bureau_score,Completeness,missing_value,612.0,
10744,UGRO-APP-110744,bureau_score,Completeness,missing_value,673.0,
972,UGRO-APP-100972,bureau_score,Completeness,missing_value,720.0,
1546,UGRO-APP-101546,bureau_score,Completeness,missing_value,882.0,
6461,UGRO-APP-106461,bureau_score,Completeness,missing_value,606.0,
13287,UGRO-APP-113287,bureau_score,Completeness,missing_value,653.0,
5049,UGRO-APP-105049,bureau_score,Completeness,missing_value,547.0,
5470,UGRO-APP-105470,bureau_score,Completeness,missing_value,664.0,
10354,UGRO-APP-110354,bureau_score,Completeness,missing_value,675.0,
1174,UGRO-APP-101174,bureau_score,Completeness,missing_value,832.0,
341,UGRO-APP-100341,bureau_score,Completeness,missing_value,804.0,
7291,UGRO-APP-107291,bureau_score,Completeness,missing_value,656.0,
2266,UGRO-APP-102266,bureau_score,Completeness,missing_value,653.0,
6040,UGRO-APP-106040,bureau_score,Completeness,missing_value,549.0,
6531,UGRO-APP-106531,bureau_score,Completeness,missing_value,650.0,
4970,UGRO-APP-104970,bureau_score,Completeness,missing_value,699.0,
10364,UGRO-APP-110364,bureau_score,Completeness,missing_value,801.0,
9873,UGRO-APP-109873,bureau_score,Completeness,missing_value,632.0,
865,UGRO-APP-100865,bureau_score,Completeness,missing_value,457.0,
10180,UGRO-APP-110180,bureau_score,Completeness,missing_value,666.0,
11651,UGRO-APP-111651,bureau_score,Completeness,missing_value,607.0,
9423,UGRO-APP-109423,bureau_score,Completeness,missing_value,822.0,
10136,UGRO-APP-110136,bureau_score,Completeness,missing_value,809.0,
10081,UGRO-APP-110081,bureau_score,Completeness,missing_value,665.0,
